"DOB" "NKID" "DEP" "PHON" "SINC" "AES" "DAINC" "RES" "DHVAL" "DMORT" "DOUTM" "DOUTL" "DOUTHP" "DOUTCC" "BAD"
"34" 63 0 0 1 0 "B" 26400 "P" 0 0 320 316 0 0 0
"35" 59 1 0 1 2000 "P" 48000 "O" 36928 50464 776 276 0 0 0
"37" 44 2 0 1 0 "V" 42000 "O" 28928 22000 108 56 0 0 0
"39" 66 0 0 1 0 "P" 15000 "P" 0 0 0 0 0 0 1
"40" 45 0 0 1 30000 "W" 0 "O" 21248 14464 0 0 0 0 0
"41" 68 0 0 1 0 "T" 6189 "P" 0 0 0 0 0 0 0
"42" 54 2 0 1 0 "P" 55068 "O" 43392 4 0 0 0 0 0
"43" 45 4 0 1 0 "E" 42000 "O" 28928 34464 988 0 0 0 0
"45" 58 0 0 1 0 "P" 40500 "O" 26464 64000 520 0 0 0 0
"46" 66 0 0 1 0 "P" 21750 "P" 0 0 0 0 0 60 1
"50" 45 4 0 1 20000 "W" 0 "F" 0 0 0 0 0 0 0
"51" 31 0 0 1 0 "V" 34170 "O" 0 0 0 0 0 0 1
"52" 54 0 0 1 0 "P" 23646 "O" 4928 4 0 380 0 32 0
"53" 57 0 0 1 0 "P" 18765 "N" 0 0 0 0 0 0 0
"54" 28 0 0 1 0 "R" 0 "U" 0 0 432 0 0 0 0
"55" 57 3 0 1 2928 "E" 8784 "U" 0 0 400 0 0 0 0
"57" 68 0 0 0 0 "T" 13800 "P" 0 0 400 0 0 0 1
"59" 19 0 0 1 0 "R" 12000 "O" 30464 4 0 0 0 0 0
"60" 57 0 0 1 0 "P" 52500 "P" 0 0 0 0 0 0 0
"63" 46 2 0 1 1960 "P" 39750 "O" 12464 29200 304 80 0 80 0
"64" 59 0 0 1 7195 "V" 19728 "O" 40464 56000 292 0 0 0 0
"65" 60 0 0 1 0 "P" 22200 "P" 0 0 0 0 0 0 0
"67" 66 0 0 1 0 "P" 16500 "P" 0 0 0 0 0 0 0
"68" 60 1 0 1 0 "P" 36012 "O" 62464 40464 1000 0 0 0 0
"69" 59 1 0 1 0 "V" 36000 "O" 58464 26464 1160 640 0 0 0
"71" 49 0 0 1 0 "P" 43800 "O" 12928 22464 760 240 0 100 0
"72" 61 0 0 0 0 "M" 30510 "F" 0 0 384 0 0 0 0
"73" 52 0 0 1 2000 "E" 60000 "O" 63392 43392 2280 0 0 0 0
"74" 50 2 0 1 0 "V" 59931 "O" 11392 54464 880 576 0 64 0
"75" 67 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 0
"76" 61 0 0 0 0 "M" 30300 "F" 0 0 0 0 80 60 0
"77" 61 0 0 1 0 "V" 21474 "U" 0 0 0 0 0 640 0
"78" 37 0 0 1 7500 "P" 3000 "O" 8928 4 0 0 0 20 0
"79" 64 0 0 1 0 "P" 18000 "F" 0 0 480 0 0 0 0
"80" 15 0 0 1 0 "R" 15300 "O" 42464 0 0 0 0 0 0
"82" 68 0 0 1 0 "T" 5862 "U" 0 0 160 0 0 0 0
"83" 56 3 0 1 9000 "P" 15000 "U" 0 0 448 0 0 0 0
"86" 57 0 0 1 0 "E" 7800 "F" 0 0 0 0 0 0 1
"87" 52 2 1 1 0 "P" 45000 "O" 54464 14464 684 0 0 0 0
"91" 39 3 0 1 3600 "P" 36000 "O" 8928 0 380 152 0 32 0
"92" 63 0 0 1 0 "P" 33000 "U" 0 0 356 424 0 200 0
"95" 35 0 0 1 0 "V" 23100 "U" 0 0 340 0 0 100 0
"97" 33 1 0 1 1750 "V" 24464 "O" 57856 36000 600 0 0 80 0
"98" 49 1 0 1 3500 "P" 34200 "O" 62464 41664 752 0 64 160 0
"99" 53 2 0 1 0 "E" 39464 "O" 6784 28928 2000 0 0 0 0
"100" 55 0 0 1 0 "P" 40500 "O" 23392 48464 1040 0 0 0 1
"101" 57 0 0 1 0 "V" 28500 "O" 4928 14052 672 436 0 128 0
"103" 62 0 0 1 0 "P" 20907 "F" 0 0 400 0 0 0 0
"104" 36 3 0 1 0 "V" 57000 "O" 23392 24000 340 0 0 0 0
"106" 43 2 0 1 1500 "P" 42000 "O" 48928 48000 440 140 0 0 0
"107" 21 0 0 1 0 "R" 24000 "O" 43392 4 0 0 0 0 0
"108" 66 0 0 1 0 "P" 2961 "F" 0 0 300 0 0 80 0
"109" 68 0 0 1 0 "P" 14625 "P" 0 0 160 272 0 0 0
"110" 25 2 0 1 0 "P" 18928 "O" 10176 2464 1520 0 0 0 0
"111" 58 0 0 1 0 "P" 18000 "P" 0 0 400 0 0 0 0
"115" 47 2 0 1 2500 "E" 24000 "O" 64464 52000 520 0 0 0 0
"116" 58 2 0 1 1500 "E" 24000 "O" 23392 10464 676 0 0 0 0
"117" 52 2 0 1 2500 "V" 32403 "O" 4928 8464 536 104 0 100 0
"119" 66 0 0 1 0 "P" 18000 "O" 64000 0 416 192 0 0 0
"120" 39 0 0 1 0 "V" 0 "U" 0 0 416 0 0 0 0
"121" 17 0 0 1 0 "R" 16200 "F" 0 0 160 0 0 0 0
"122" 60 0 0 0 0 "V" 24300 "O" 62000 60000 440 156 0 0 0
"123" 65 0 0 1 0 "E" 45000 "P" 0 0 200 0 0 0 0
"125" 26 0 0 1 0 "E" 9464 "O" 17856 0 0 0 0 0 0
"126" 48 3 0 1 0 "P" 41400 "O" 6464 36000 352 320 0 0 0
"127" 45 2 0 1 6250 "V" 41256 "O" 60928 56464 1292 0 0 0 0
"129" 62 1 0 1 0 "E" 33000 "O" 14464 4 0 0 0 0 1
"130" 42 2 0 1 6000 "P" 27000 "O" 63392 20000 460 0 0 0 1
"131" 48 2 0 1 1800 "V" 51000 "O" 43392 14464 800 0 0 0 0
"134" 63 0 0 1 0 "E" 24000 "P" 0 0 0 428 0 0 0
"136" 61 0 0 0 0 "P" 16500 "F" 0 0 400 80 0 0 1
"137" 59 0 0 1 0 "V" 30000 "P" 0 0 0 0 0 0 0
"138" 61 0 0 1 0 "P" 37500 "P" 0 0 0 0 0 0 0
"141" 59 0 0 1 6000 "B" 30900 "O" 62464 0 0 1400 0 0 0
"142" 64 0 0 1 0 "P" 18300 "P" 0 0 0 0 0 0 0
"144" 61 0 0 1 0 "P" 33000 "P" 0 0 100 500 0 0 0
"145" 13 0 0 1 0 "R" 45000 "O" 6784 4 0 0 0 400 0
"146" 29 1 0 1 0 "E" 36000 "O" 23392 38464 1048 0 0 0 1
"147" 55 2 0 1 0 "E" 48928 "O" 41248 48928 1960 0 0 0 1
"150" 65 0 0 1 0 "P" 15000 "P" 0 0 0 0 0 0 1
"151" 26 0 0 1 0 "P" 15600 "O" 18464 28000 240 0 0 0 1
"152" 47 0 0 1 0 "P" 22500 "O" 23392 30464 888 0 0 0 1
"153" 40 1 0 1 14500 "V" 57000 "O" 12320 12464 680 0 0 80 0
"155" 63 0 0 1 5200 "P" 11700 "O" 22464 0 540 264 100 160 1
"156" 26 0 0 1 0 "R" 17400 "O" 22464 4 0 0 464 0 0
"157" 37 1 0 1 0 "V" 51000 "O" 36928 8864 712 0 0 0 1
"159" 64 0 0 1 0 "V" 18252 "P" 0 0 0 0 0 0 0
"160" 64 0 0 1 0 "P" 12000 "P" 0 0 0 0 0 0 0
"161" 56 1 0 1 8050 "V" 43500 "O" 8928 62464 1168 0 56 0 0
"162" 56 0 0 1 11300 "P" 24000 "O" 48928 58464 880 304 0 0 0
"163" 42 1 2 1 5040 "P" 27000 "O" 4928 54464 772 0 0 0 0
"164" 64 0 0 1 0 "P" 27000 "P" 0 0 400 472 0 0 0
"165" 31 2 0 1 0 "P" 31500 "O" 63392 50000 728 0 0 0 0
"166" 61 1 0 1 0 "P" 31671 "O" 12928 928 540 316 0 120 1
"167" 47 2 0 1 0 "P" 18000 "U" 0 0 400 0 0 0 0
"168" 56 0 0 1 0 "P" 17700 "F" 0 0 400 0 0 0 0
"170" 58 0 0 1 0 "P" 18000 "O" 0 0 400 0 0 0 0
"172" 51 2 0 1 0 "P" 33000 "O" 46464 60000 428 132 504 0 0
"175" 67 0 0 1 0 "T" 10500 "P" 0 0 288 0 0 0 0
"176" 29 0 0 0 0 "E" 0 "O" 0 0 0 0 0 0 0
"177" 64 0 0 0 0 "P" 16500 "O" 26464 26464 668 96 160 0 0
"178" 52 2 0 1 0 "P" 25500 "O" 38464 0 768 0 0 0 0
"180" 62 0 0 1 8000 "P" 24000 "O" 26464 0 680 0 0 0 0
"181" 67 0 0 1 0 "T" 6000 "P" 0 0 0 0 0 0 0
"184" 67 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 0
"185" 38 0 2 1 0 "R" 10947 "U" 0 0 0 0 0 28 0
"186" 51 1 0 1 2000 "P" 36000 "O" 20928 34464 720 200 0 0 0
"187" 55 3 0 1 0 "P" 24000 "O" 50464 30464 880 0 0 0 0
"189" 52 3 0 1 0 "P" 19500 "O" 60000 4 0 0 0 0 0
"190" 65 0 0 1 0 "P" 10476 "P" 0 0 240 0 80 0 1
"192" 19 0 0 1 1209 "R" 19761 "U" 0 0 340 52 0 0 0
"193" 43 1 0 1 0 "P" 27000 "U" 0 0 360 0 0 0 0
"194" 53 2 0 1 0 "V" 39132 "O" 60928 14464 760 0 0 0 0
"195" 64 0 0 1 0 "P" 9600 "P" 0 0 224 0 0 0 0
"197" 66 0 0 1 0 "T" 5700 "P" 0 0 356 0 0 0 0
"198" 41 0 0 1 8000 "P" 36000 "O" 11392 6588 184 0 0 0 0
"200" 51 0 0 1 0 "V" 9600 "U" 0 0 256 0 0 0 0
"201" 37 3 0 1 22500 "P" 1964 "O" 21248 4 0 1600 0 2400 0
"203" 27 0 0 1 0 "R" 18000 "O" 0 0 0 0 0 0 0
"205" 28 0 0 1 5200 "E" 0 "O" 43392 4 0 0 0 0 0
"206" 51 1 0 0 0 "P" 54000 "O" 3392 22928 1580 0 0 0 0
"207" 48 2 0 1 4200 "P" 54000 "O" 43392 56000 0 0 1600 0 0
"209" 29 0 0 1 0 "V" 60000 "O" 0 0 0 0 0 0 0
"210" 48 2 0 1 5500 "P" 3000 "U" 0 0 0 0 0 0 1
"211" 48 3 0 1 3000 "P" 22500 "F" 0 0 408 240 0 0 0
"213" 62 1 0 1 2356 "V" 27000 "U" 0 0 500 100 340 60 0
"214" 64 0 0 1 0 "V" 17250 "F" 0 0 336 0 0 0 0
"215" 50 0 0 1 9473 "V" 36000 "O" 60928 32464 720 0 0 0 0
"217" 66 0 0 1 0 "P" 14625 "P" 0 0 240 92 160 0 0
"219" 55 2 0 1 0 "P" 60000 "O" 8928 26464 800 0 356 0 0
"221" 38 0 0 1 0 "V" 32769 "O" 2464 0 0 160 0 0 0
"222" 33 0 0 0 0 "E" 9464 "O" 10176 4 0 0 0 0 0
"225" 41 3 0 1 1976 "P" 17940 "U" 0 0 496 124 0 0 0
"226" 42 1 0 1 0 "V" 17100 "U" 0 0 352 432 0 80 0
"228" 31 0 0 1 0 "P" 18750 "U" 0 0 0 212 0 0 0
"229" 58 0 0 1 0 "V" 15300 "F" 0 0 480 0 0 0 0
"230" 58 0 0 1 0 "P" 33600 "P" 0 0 0 0 0 120 0
"231" 39 0 0 1 0 "W" 0 "O" 46464 26464 0 0 0 0 1
"232" 40 0 0 1 0 "P" 48000 "O" 52320 28928 0 400 0 0 0
"234" 40 1 0 1 6000 "E" 45000 "O" 11392 56000 408 216 0 200 0
"235" 38 2 0 1 0 "B" 54000 "O" 4928 28000 324 640 0 240 1
"236" 12 0 0 1 0 "R" 0 "U" 0 0 276 0 0 0 0
"237" 64 0 0 1 0 "P" 19500 "P" 0 0 400 344 0 0 0
"239" 52 2 0 1 0 "E" 22500 "O" 34464 4 0 0 0 80 0
"241" 67 0 0 1 0 "T" 5580 "F" 0 0 272 0 0 0 0
"242" 58 0 0 1 0 "P" 24464 "U" 0 0 0 0 0 0 0
"243" 67 0 0 1 0 "P" 12900 "P" 0 0 240 0 0 0 0
"244" 56 0 0 1 0 "P" 24000 "O" 64000 0 400 0 0 120 1
"247" 68 0 0 1 0 "T" 5703 "F" 0 0 400 0 0 0 0
"248" 66 0 0 1 0 "T" 6600 "P" 0 0 400 0 0 0 0
"249" 64 0 0 1 0 "P" 17739 "F" 0 0 320 0 0 0 0
"251" 59 0 0 1 0 "P" 36000 "O" 52928 24928 1684 228 208 0 1
"252" 57 0 0 1 8200 "P" 54000 "O" 8320 5856 2400 580 0 0 0
"253" 52 4 0 1 0 "P" 48000 "O" 57856 28928 1296 280 0 200 0
"255" 52 1 0 1 11500 "W" 0 "O" 15392 60000 388 0 0 0 0
"256" 64 0 0 0 7800 "V" 19800 "O" 30464 26464 0 0 0 0 0
"257" 45 1 1 1 0 "E" 18000 "U" 0 0 392 0 0 0 0
"259" 46 2 0 1 0 "E" 45000 "O" 28928 1928 1400 920 0 0 0
"260" 68 0 0 1 0 "P" 8100 "P" 0 0 0 0 0 0 0
"261" 61 0 0 0 9100 "P" 38100 "O" 49464 48464 600 0 0 120 0
"262" 27 0 0 1 3321 "P" 45000 "O" 9856 28000 320 608 100 0 1
"263" 63 1 0 1 12000 "E" 3000 "O" 6464 48000 440 0 208 0 0
"264" 63 0 0 1 0 "P" 12000 "P" 0 0 0 0 0 0 0
"266" 66 0 0 1 0 "P" 16500 "F" 0 0 340 0 0 0 0
"267" 40 0 0 0 0 "B" 60000 "O" 37856 34464 0 0 0 0 0
"268" 35 2 0 1 0 "P" 19500 "O" 48928 4800 0 0 0 0 0
"269" 59 0 0 1 0 "V" 15300 "N" 0 0 400 0 0 40 1
"270" 60 0 0 1 0 "P" 41700 "F" 0 0 440 600 0 400 0
"271" 37 0 0 1 15000 "W" 0 "O" 3392 4 0 0 0 0 0
"273" 44 2 1 1 3000 "P" 18000 "O" 54464 56000 432 0 0 60 0
"275" 64 1 0 1 0 "P" 15000 "O" 57856 35392 0 0 0 0 0
"276" 14 0 0 1 0 "R" 9900 "O" 54464 4 0 0 0 0 0
"278" 59 0 0 1 0 "P" 45000 "O" 30464 2464 508 0 40 0 1
"280" 58 0 0 1 3600 "P" 17493 "U" 48928 0 0 0 0 0 0
"281" 55 0 0 1 0 "P" 18000 "U" 0 0 0 1000 0 0 0
"284" 63 0 0 0 0 "T" 0 "F" 0 0 0 0 0 0 0
"285" 63 0 0 1 0 "T" 5538 "F" 0 0 436 0 0 0 0
"286" 48 0 0 1 0 "V" 29739 "N" 0 0 0 1048 0 0 0
"287" 41 0 0 1 12000 "P" 18000 "O" 18464 40000 116 1128 0 0 0
"288" 65 0 0 1 0 "P" 13065 "P" 0 0 240 0 0 0 0
"290" 49 4 0 1 0 "V" 25484 "O" 3392 8928 648 0 0 0 0
"292" 57 1 0 1 0 "E" 54000 "O" 63392 8928 840 0 0 0 0
"294" 64 0 0 0 0 "T" 5862 "F" 0 0 44 0 0 0 0
"295" 48 2 0 1 5000 "P" 60000 "O" 39104 4 0 0 0 0 0
"297" 52 0 0 1 0 "E" 0 "O" 0 0 1160 0 0 0 1
"299" 18 0 0 1 0 "R" 0 "F" 0 0 0 0 0 0 1
"300" 58 2 0 1 3750 "E" 24464 "U" 0 0 480 0 0 200 0
"301" 62 0 0 1 0 "V" 0 "P" 0 0 0 0 0 0 1
"304" 67 0 0 1 0 "T" 0 "P" 56928 0 0 0 0 0 0
"306" 39 1 0 1 10000 "P" 52500 "O" 57856 60000 680 400 0 0 0
"307" 69 0 0 1 0 "V" 9000 "P" 0 0 0 0 0 0 1
"308" 67 0 0 1 0 "T" 7200 "F" 0 0 380 0 0 0 0
"310" 54 2 0 1 3300 "V" 42000 "O" 8928 50464 848 0 0 80 0
"311" 66 0 0 1 0 "V" 19500 "N" 0 0 0 0 0 0 0
"312" 45 0 0 0 0 "P" 22800 "U" 0 0 600 0 0 0 0
"313" 36 0 0 1 0 "V" 15600 "U" 0 0 352 0 0 0 0
"314" 8 0 0 1 10313 "R" 36855 "O" 48928 4 0 0 0 0 0
"316" 63 0 0 1 10000 "P" 17160 "O" 46464 46464 820 120 0 0 0
"317" 48 1 2 1 8512 "P" 26802 "U" 0 0 440 0 0 0 1
"318" 57 0 0 1 0 "P" 21000 "U" 0 0 60 400 0 100 0
"319" 49 2 0 1 0 "V" 46917 "O" 63392 34464 816 0 0 0 0
"322" 44 1 0 1 16000 "V" 9696 "O" 28928 56000 0 0 0 0 0
"323" 56 0 0 1 0 "P" 18600 "N" 0 0 0 0 0 120 0
"324" 44 2 0 1 1600 "E" 30000 "N" 0 0 200 360 160 0 0
"327" 64 0 0 1 0 "V" 36000 "P" 0 0 0 0 0 0 0
"328" 54 1 0 1 0 "P" 36000 "O" 62464 62464 680 100 0 0 0
"329" 62 0 0 0 0 "P" 25500 "U" 0 0 340 132 0 0 0
"330" 37 0 0 1 16600 "V" 16497 "O" 54464 4 0 0 0 0 0
"331" 37 2 1 1 0 "M" 12464 "F" 0 0 480 0 0 1000 0
"332" 65 0 0 1 0 "V" 21000 "P" 0 0 0 0 0 0 0
"334" 24 0 0 1 550 "R" 46500 "O" 23392 4 0 0 0 0 0
"336" 46 2 0 1 0 "P" 6464 "O" 3392 46000 400 0 0 0 0
"337" 64 0 0 0 0 "P" 36000 "F" 0 0 800 400 0 0 0
"338" 34 0 0 1 5500 "P" 16500 "O" 8928 0 0 0 0 0 0
"340" 38 1 1 1 0 "P" 25587 "U" 0 0 312 0 0 0 1
"341" 47 0 0 1 3000 "P" 16500 "U" 0 0 0 192 40 0 1
"342" 69 0 0 1 0 "M" 15000 "F" 0 0 0 0 0 0 1
"343" 25 0 0 1 0 "P" 31500 "O" 58464 0 0 0 0 0 1
"344" 62 0 0 1 0 "V" 24327 "O" 22464 8896 592 0 0 0 0
"345" 65 0 0 1 0 "T" 5325 "F" 0 0 600 0 0 0 0
"346" 30 0 0 1 40000 "R" 0 "O" 0 0 0 0 0 0 0
"347" 48 0 0 1 0 "P" 20220 "O" 26464 34000 0 668 0 0 1
"348" 46 0 0 1 0 "P" 30000 "O" 48000 12000 160 320 0 0 0
"349" 66 0 0 1 0 "P" 16200 "P" 0 0 0 228 0 0 0
"350" 68 0 0 1 0 "T" 6900 "P" 0 0 0 0 0 0 0
"351" 61 0 0 1 13000 "P" 0 "O" 28928 4 0 0 0 0 1
"353" 64 0 0 0 0 "P" 19500 "U" 0 0 240 208 80 0 0
"355" 38 0 0 0 0 "P" 0 "N" 6784 0 0 0 0 0 0
"356" 32 1 0 1 3000 "P" 18464 "O" 27392 52000 376 580 0 160 0
"357" 67 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 0
"358" 58 0 0 1 0 "P" 34956 "O" 22464 64000 428 320 0 240 0
"359" 60 0 0 1 0 "B" 34500 "F" 0 0 560 0 0 0 0
"361" 38 0 0 1 0 "P" 36000 "O" 63392 30464 680 948 0 0 0
"363" 30 1 0 0 0 "P" 34500 "U" 0 0 0 472 0 0 1
"365" 32 1 0 1 0 "R" 0 "F" 0 0 0 0 0 0 1
"366" 57 0 0 1 0 "V" 40500 "O" 34464 8464 600 200 0 200 0
"367" 21 1 0 0 0 "R" 0 "U" 0 0 0 0 0 0 1
"368" 59 1 0 1 0 "B" 17700 "U" 0 0 320 0 0 32 0
"369" 21 0 0 1 0 "R" 0 "O" 62464 4 0 0 0 0 0
"370" 62 0 0 1 0 "P" 24600 "O" 46464 14464 624 0 224 0 0
"372" 47 2 0 1 0 "B" 21000 "O" 36928 52000 376 0 0 0 1
"373" 63 0 0 1 5500 "V" 30000 "U" 0 0 0 300 80 80 0
"374" 48 0 0 0 2000 "P" 24000 "O" 24928 59796 504 0 0 0 0
"375" 33 0 0 1 0 "R" 30000 "O" 8928 4 0 0 0 0 0
"376" 48 1 0 1 0 "P" 6464 "O" 56928 8928 1480 1000 728 100 0
"377" 48 2 0 1 9500 "P" 9464 "O" 63392 54464 1400 0 0 0 0
"378" 46 0 0 1 10800 "P" 20250 "U" 0 0 0 0 0 0 1
"379" 42 0 0 1 0 "V" 34947 "O" 62464 0 600 100 48 0 1
"380" 55 1 0 0 0 "P" 12464 "N" 0 0 0 0 0 0 0
"381" 50 0 0 1 4000 "E" 15000 "O" 48928 64000 1000 0 0 0 1
"383" 68 0 0 1 0 "P" 9000 "P" 0 0 0 0 0 0 0
"384" 26 0 0 1 0 "E" 15928 "O" 37856 4 0 0 0 0 0
"385" 38 3 0 1 0 "P" 36000 "O" 54464 26000 320 0 0 0 0
"386" 45 0 0 1 4000 "E" 30000 "U" 0 0 476 400 0 0 0
"390" 36 2 0 1 0 "V" 0 "O" 30464 7200 224 0 0 0 1
"391" 65 1 0 0 6858 "W" 0 "F" 0 0 352 0 0 80 1
"395" 58 0 0 1 0 "V" 25653 "P" 0 0 0 220 0 0 0
"396" 63 0 0 1 0 "V" 20400 "P" 0 0 200 0 0 300 0
"398" 44 2 0 1 15000 "P" 9000 "O" 53392 30464 680 0 0 0 1
"399" 50 2 0 1 2671 "V" 31260 "O" 48928 2464 496 0 0 0 0
"401" 62 1 0 1 1440 "P" 21000 "U" 0 0 444 76 116 0 0
"402" 51 2 0 1 0 "P" 15180 "P" 0 0 0 0 0 0 0
"403" 59 0 0 1 0 "V" 22200 "F" 0 0 0 0 0 0 0
"404" 68 0 0 1 0 "T" 0 "N" 0 0 132 0 0 0 0
"405" 65 0 0 1 0 "P" 15000 "P" 0 0 0 0 0 0 0
"408" 16 0 0 1 0 "R" 0 "O" 0 0 0 0 0 0 0
"409" 32 0 0 1 6000 "P" 30000 "O" 27392 10000 100 720 0 200 0
"412" 25 0 0 1 0 "R" 0 "O" 54464 4 0 0 0 0 0
"413" 62 0 0 1 0 "P" 26520 "P" 0 0 0 0 72 0 0
"414" 65 0 0 0 0 "V" 9276 "N" 0 0 96 0 0 0 0
"415" 16 0 0 1 0 "R" 0 "O" 2928 4 0 0 0 0 1
"416" 66 0 0 0 0 "P" 26571 "N" 0 0 0 0 0 0 1
"417" 48 2 0 1 0 "P" 9464 "O" 17856 2464 0 0 0 0 0
"418" 33 2 0 1 1500 "B" 464 "O" 3392 56000 448 400 0 0 0
"419" 49 0 0 0 0 "P" 16500 "P" 0 0 0 0 0 0 1
"420" 63 0 0 1 0 "P" 24000 "O" 10464 0 740 0 0 0 0
"421" 62 0 0 0 4700 "P" 15000 "O" 48000 0 320 328 0 0 0
"422" 57 1 0 1 0 "W" 0 "O" 0 0 0 0 0 0 0
"423" 60 0 0 1 0 "P" 13284 "N" 0 0 0 188 0 0 0
"424" 19 0 0 1 0 "R" 6846 "N" 0 0 0 0 0 0 1
"425" 33 0 0 1 9000 "P" 13434 "O" 42464 56000 240 0 0 80 0
"426" 44 1 0 1 0 "P" 15000 "O" 43392 4 0 0 0 0 0
"427" 59 1 1 0 0 "P" 35460 "O" 12928 62464 900 0 0 44 1
"428" 57 0 0 1 0 "M" 33000 "P" 0 0 520 0 0 0 0
"430" 65 0 0 1 0 "P" 21000 "P" 0 0 0 800 0 0 0
"431" 51 2 0 1 0 "P" 21000 "O" 50464 0 0 0 0 40 0
"432" 50 2 0 1 7518 "P" 27000 "O" 54464 54800 384 0 160 0 0
"433" 47 2 0 1 0 "P" 33000 "O" 18464 32000 276 0 316 292 0
"434" 34 1 0 0 0 "V" 24900 "O" 63392 4 0 280 0 0 0
"436" 30 0 0 1 0 "E" 9464 "O" 0 0 0 0 0 0 1
"440" 54 0 0 1 6700 "P" 46500 "O" 58464 2464 480 0 0 0 0
"441" 48 2 1 1 0 "W" 0 "O" 35392 4928 0 0 0 0 1
"442" 43 1 0 1 0 "W" 0 "O" 10176 0 0 0 0 0 0
"443" 60 0 0 1 0 "V" 15390 "P" 0 0 0 0 0 0 0
"445" 24 0 0 1 0 "E" 30000 "O" 44928 0 0 0 0 0 1
"446" 56 0 0 1 0 "P" 21000 "U" 0 0 160 228 0 0 0
"447" 67 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 0
"448" 61 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 0
"449" 55 0 0 1 17446 "W" 0 "F" 0 0 0 0 0 0 0
"450" 63 0 0 0 0 "U" 0 "F" 0 0 0 0 0 0 1
"452" 56 1 0 1 0 "P" 33000 "U" 0 0 120 280 0 0 0
"453" 68 0 0 1 0 "V" 17739 "P" 0 0 0 0 0 0 0
"454" 32 0 1 1 2152 "B" 36969 "F" 0 0 464 184 0 0 0
"455" 50 0 0 1 7000 "V" 36000 "O" 3392 40000 400 0 0 0 0
"456" 63 0 0 1 6000 "M" 24600 "O" 34464 0 608 460 0 0 0
"457" 53 1 0 1 0 "P" 21135 "U" 0 0 200 0 0 0 0
"458" 47 0 0 1 19500 "P" 13500 "O" 27392 16928 0 0 0 280 0
"459" 54 2 0 1 6984 "P" 22500 "O" 46464 2464 492 180 80 160 0
"461" 46 1 0 1 0 "V" 9768 "P" 0 0 0 0 0 120 0
"462" 61 0 0 1 6420 "P" 19200 "N" 0 0 0 392 0 0 1
"463" 52 2 0 1 0 "V" 12048 "O" 18928 7696 92 248 0 0 0
"464" 23 0 0 1 0 "P" 22500 "O" 34464 4 0 0 0 0 0
"465" 67 0 0 1 0 "T" 0 "N" 0 0 0 0 0 0 0
"466" 61 0 0 1 2400 "P" 21900 "O" 8464 8464 532 0 0 0 0
"468" 62 1 0 1 9000 "P" 42000 "O" 54464 0 800 0 0 0 0
"469" 56 1 0 1 14226 "V" 28797 "O" 4928 46464 776 0 0 0 0
"470" 61 0 0 1 13000 "V" 42000 "O" 54464 34464 720 0 80 0 0
